domain,site_count,sites,max_score,avg_score,top_category,top_provider
arstechnica.net,1,arstechnica.com,64,64.0,unknown,
bac-assets.com,1,bankofamerica.com,64,64.0,unknown,
dailymail.com,1,dailymail.co.uk,64,64.0,unknown,
espn.net,1,espn.com,64,64.0,unknown,
forbesimg.com,1,forbes.com,64,64.0,unknown,
githubassets.com,1,github.com,64,64.0,unknown,
targetimg1.com,1,target.com,64,64.0,unknown,
travel-assets.com,1,expedia.com,64,64.0,unknown,
walmartimages.com,1,walmart.com,64,64.0,unknown,
cloudfront.net,4,capitalone.com;coursera.org;nytimes.com;wired.com,35,17.5,cdn,Amazon CloudFront
bstatic.com,1,booking.com,35,35.0,analytics,
paypalobjects.com,1,paypal.com,35,35.0,payments,PayPal Objects
r9cdn.net,1,kayak.com,35,35.0,cdn,
espncdn.com,1,espn.com,31,31.0,cdn,
concert.io,1,theverge.com,25,25.0,unknown,
amazon-adsystem.com,4,cnn.com;foxnews.com;theverge.com;usatoday.com,24,10.0,advertising,Amazon Ads
bbhub.io,1,bloomberg.com,24,24.0,unknown,
google.com,8,booking.com;cnn.com;kayak.com;nypost.com;techcrunch.com;theverge.com;usatoday.com;wired.com,23,8.56,unknown,
condenastdigital.com,1,wired.com,23,23.0,unknown,
qualified.com,1,edx.org,23,23.0,unknown,
googleapis.com,5,dailymail.co.uk;edx.org;foxnews.com;kayak.com;nypost.com,21,7.33,fonts,Google Fonts API
amazonaws.com,2,coursera.org;github.com,21,12.0,cdn,Amazon S3/CloudFront
ctfassets.net,2,coursera.org;github.com,21,21.0,unknown,
yimg.com,2,engadget.com;foxnews.com,21,12.0,advertising,Yahoo
espn.cl,1,espn.com,21,21.0,unknown,
espn.co.cr,1,espn.com,21,21.0,unknown,
espn.co.uk,1,espn.com,21,21.0,unknown,
espn.com.ar,1,espn.com,21,21.0,unknown,
espn.com.au,1,espn.com,21,21.0,unknown,
espn.com.br,1,espn.com,21,21.0,unknown,
espn.com.co,1,espn.com,21,21.0,unknown,
espn.com.do,1,espn.com,21,21.0,unknown,
espn.com.ec,1,espn.com,21,21.0,unknown,
espn.com.gt,1,espn.com,21,21.0,unknown,
espn.com.mx,1,espn.com,21,21.0,unknown,
espn.com.pa,1,espn.com,21,21.0,unknown,
espn.com.pe,1,espn.com,21,21.0,unknown,
espn.com.sg,1,espn.com,21,21.0,unknown,
espn.com.uy,1,espn.com,21,21.0,unknown,
espn.com.ve,1,espn.com,21,21.0,unknown,
espn.in,1,espn.com,21,21.0,unknown,
espn.nl,1,espn.com,21,21.0,unknown,
espn.ph,1,espn.com,21,21.0,unknown,
githubusercontent.com,1,github.com,21,21.0,unknown,
kayak.ch,1,kayak.com,21,21.0,unknown,
kayak.co.th,1,kayak.com,21,21.0,unknown,
kayak.de,1,kayak.com,21,21.0,unknown,
rcstatic.com,1,booking.com,21,21.0,analytics,
scene7.com,1,target.com,21,21.0,unknown,
googletagmanager.com,13,arstechnica.com;bloomberg.com;booking.com;capitalone.com;edx.org;foxnews.com;kayak.com;nypost.com;nytimes.com;paypal.com;target.com;usatoday.com;wired.com,18,5.92,analytics,Google Tag Manager
kayak.cat,1,kayak.com,18,18.0,unknown,
kayak.co.id,1,kayak.com,18,18.0,unknown,
kayak.co.in,1,kayak.com,18,18.0,unknown,
kayak.co.jp,1,kayak.com,18,18.0,unknown,
kayak.co.uk,1,kayak.com,18,18.0,unknown,
kayak.com.au,1,kayak.com,18,18.0,unknown,
kayak.com.br,1,kayak.com,18,18.0,unknown,
kayak.com.hk,1,kayak.com,18,18.0,unknown,
kayak.com.mx,1,kayak.com,18,18.0,unknown,
kayak.com.my,1,kayak.com,18,18.0,unknown,
kayak.dk,1,kayak.com,18,18.0,unknown,
kayak.es,1,kayak.com,18,18.0,unknown,
kayak.fr,1,kayak.com,18,18.0,unknown,
kayak.ie,1,kayak.com,18,18.0,unknown,
kayak.it,1,kayak.com,18,18.0,unknown,
kayak.nl,1,kayak.com,18,18.0,unknown,
kayak.no,1,kayak.com,18,18.0,unknown,
kayak.pl,1,kayak.com,18,18.0,unknown,
kayak.pt,1,kayak.com,18,18.0,unknown,
kayak.se,1,kayak.com,18,18.0,unknown,
kayak.sg,1,kayak.com,18,18.0,unknown,
bbthat.com,1,bloomberg.com,16,16.0,unknown,
kayak.ae,1,kayak.com,16,16.0,unknown,
kayak.bo,1,kayak.com,16,16.0,unknown,
kayak.cl,1,kayak.com,16,16.0,unknown,
kayak.co.cr,1,kayak.com,16,16.0,unknown,
kayak.co.kr,1,kayak.com,16,16.0,unknown,
kayak.com.ar,1,kayak.com,16,16.0,unknown,
kayak.com.co,1,kayak.com,16,16.0,unknown,
kayak.com.do,1,kayak.com,16,16.0,unknown,
kayak.com.ec,1,kayak.com,16,16.0,unknown,
kayak.com.gt,1,kayak.com,16,16.0,unknown,
kayak.com.hn,1,kayak.com,16,16.0,unknown,
kayak.com.ni,1,kayak.com,16,16.0,unknown,
kayak.com.pa,1,kayak.com,16,16.0,unknown,
kayak.com.pe,1,kayak.com,16,16.0,unknown,
kayak.com.ph,1,kayak.com,16,16.0,unknown,
kayak.com.pr,1,kayak.com,16,16.0,unknown,
kayak.com.py,1,kayak.com,16,16.0,unknown,
kayak.com.sv,1,kayak.com,16,16.0,unknown,
kayak.com.tr,1,kayak.com,16,16.0,unknown,
kayak.com.uy,1,kayak.com,16,16.0,unknown,
kayak.sa,1,kayak.com,16,16.0,unknown,
conde.digital,2,arstechnica.com;wired.com,14,14.0,unknown,
