provider,resource_count
Amazon CloudFront,112
Yahoo,81
PayPal Objects,60
Google Tag Manager,25
Google DoubleClick,20
Google Fonts API,17
Amazon Ads,14
Google AdSense,12
Amazon S3/CloudFront,10
Comscore,8
Google Tag Services,7
OneTrust Cookie Law,7
Optimizely,6
WordPress Stats,6
Google Static CDN,6
Google Analytics,6
Taboola,5
Cloudflare,4
Magnite/Rubicon,4
YouTube,4
Outbrain,4
AppNexus/Xandr,3
Index Exchange,3
Google Ads,3
unpkg,3
Criteo,3
Tealium,2
Piano (Tinypass),2
New Relic,2
VWO,2
Adobe Fonts (Typekit),2
jsDelivr,1
Segment,1
Meta Pixel,1
Oracle Moat,1
Adobe Audience Manager,1
OpenX,1
PubMatic,1
Yahoo Ads,1
SpeedCurve,1
BounceX/Wunderkind,1
