site_domain,category,count
arstechnica.com,analytics,2
arstechnica.com,unknown,275
bankofamerica.com,advertising,1
bankofamerica.com,unknown,104
bbc.com,ab_testing,1
bbc.com,support,1
bloomberg.com,analytics,2
bloomberg.com,unknown,12
booking.com,analytics,624
booking.com,consent,2
booking.com,unknown,1
capitalone.com,advertising,1
capitalone.com,analytics,3
capitalone.com,cdn,1
capitalone.com,unknown,2
cnn.com,ab_testing,2
cnn.com,advertising,8
cnn.com,analytics,1
cnn.com,cdn,1
cnn.com,unknown,3
coursera.org,ab_testing,1
coursera.org,cdn,108
coursera.org,unknown,43
dailymail.co.uk,advertising,5
dailymail.co.uk,fonts,1
dailymail.co.uk,unknown,345
edx.org,analytics,4
edx.org,cdn,3
edx.org,consent,1
edx.org,fonts,2
edx.org,unknown,4
engadget.com,advertising,82
engadget.com,social,2
engadget.com,unknown,2
espn.com,cdn,218
espn.com,unknown,174
etsy.com,cdn,1
expedia.com,unknown,12
forbes.com,ab_testing,1
forbes.com,cdn,1
forbes.com,unknown,63
foxnews.com,advertising,27
foxnews.com,analytics,6
foxnews.com,cdn,1
foxnews.com,fonts,11
foxnews.com,unknown,22
github.com,cdn,1
github.com,unknown,224
kayak.com,analytics,3
kayak.com,cdn,408
kayak.com,fonts,1
kayak.com,unknown,316
nypost.com,advertising,6
nypost.com,analytics,8
nypost.com,cdn,2
nypost.com,consent,2
nypost.com,fonts,3
nypost.com,social,2
nypost.com,unknown,5
nytimes.com,analytics,3
nytimes.com,cdn,4
paypal.com,analytics,2
paypal.com,cdn,1
paypal.com,payments,60
reuters.com,cdn,1
shopify.com,analytics,1
target.com,advertising,1
target.com,analytics,1
target.com,unknown,324
techcrunch.com,analytics,2
techcrunch.com,cdn,3
techcrunch.com,social,1
techcrunch.com,unknown,8
theguardian.com,analytics,5
theverge.com,advertising,8
theverge.com,analytics,4
theverge.com,cdn,1
theverge.com,consent,1
theverge.com,unknown,8
tripadvisor.com,cdn,1
usatoday.com,advertising,19
usatoday.com,analytics,5
usatoday.com,cdn,4
usatoday.com,consent,1
usatoday.com,unknown,7
walmart.com,unknown,180
wired.com,advertising,2
wired.com,analytics,1
wired.com,cdn,10
wired.com,unknown,6
wsj.com,cdn,1
bbc.com,ab_testing,1
bbc.com,support,1
cnn.com,ab_testing,2
cnn.com,advertising,8
cnn.com,analytics,1
cnn.com,cdn,1
cnn.com,unknown,3
dailymail.co.uk,advertising,5
dailymail.co.uk,fonts,1
dailymail.co.uk,unknown,343
nytimes.com,analytics,3
nytimes.com,cdn,4
