site_domain,target_url,pages_crawled,pages_blocked_by_robots,third_party_count,third_party_script_count,unique_third_party_domains,risk_score,risk_tier,risk_exposure_score,risk_threat_score,risk_confidence_score,status_ok,status_blocked_by_robots,status_timeout,status_connection_error,status_error,status_non_html
arstechnica.com,https://arstechnica.com,10,1,277,26,5,56,high,72,45,2,9,1,0,0,0,0
bankofamerica.com,https://bankofamerica.com,10,0,105,15,2,51,high,58,46,3,10,0,0,0,0,0
bbc.com,https://bbc.com,10,0,2,2,2,3,low,8,0,100,10,0,0,0,0,0
bestbuy.com,https://bestbuy.com,1,0,0,0,0,0,low,0,0,0,0,0,1,0,0,0
bloomberg.com,https://bloomberg.com,4,0,14,2,4,12,low,16,10,10,4,0,0,0,0,0
booking.com,https://booking.com,10,2,627,135,5,35,medium,72,10,85,8,2,0,0,0,0
capitalone.com,https://capitalone.com,10,1,7,0,7,5,low,13,0,50,9,1,0,0,0,0
chase.com,https://chase.com,10,0,0,0,0,0,low,0,0,0,10,0,0,0,0,0
cnbc.com,https://cnbc.com,1,0,0,0,0,0,low,0,0,0,1,0,0,0,0,0
cnn.com,https://cnn.com,10,0,15,2,12,11,low,27,0,84,10,0,0,0,0,0
costco.com,https://costco.com,1,1,0,0,0,0,low,0,0,0,0,1,0,0,0,0
coursera.org,https://coursera.org,10,0,152,11,8,26,medium,57,5,77,10,0,0,0,0,0
dailymail.co.uk,https://dailymail.co.uk,1,0,351,13,14,49,medium,69,35,3,1,0,0,0,0,0
ebay.com,https://ebay.com,1,0,0,0,0,0,low,0,0,0,0,0,1,0,0,0
edx.org,https://edx.org,10,0,14,5,9,18,low,29,10,68,10,0,0,0,0,0
engadget.com,https://engadget.com,10,1,86,0,5,13,low,32,0,68,7,1,2,0,0,0
espn.com,https://espn.com,10,0,392,14,22,54,high,82,35,37,10,0,0,0,0,0
etsy.com,https://etsy.com,1,0,1,1,1,2,low,4,0,85,1,0,0,0,0,0
expedia.com,https://expedia.com,2,0,12,11,1,33,medium,29,35,0,2,0,0,0,0,0
facebook.com,https://facebook.com,1,1,0,0,0,0,low,0,0,0,0,1,0,0,0,0
forbes.com,https://forbes.com,10,1,65,45,5,56,high,72,45,3,9,1,0,0,0,0
foxnews.com,https://foxnews.com,10,0,67,11,40,56,high,82,38,66,10,0,0,0,0,0
github.com,https://github.com,10,0,225,84,4,55,high,70,45,0,10,0,0,0,0,0
homedepot.com,https://homedepot.com,1,0,0,0,0,0,low,0,0,0,1,0,0,0,0,0
kayak.com,https://kayak.com,10,0,728,5,51,28,medium,70,0,61,10,0,0,0,0,0
lowes.com,https://lowes.com,1,1,0,0,0,0,low,0,0,0,0,1,0,0,0,0
nypost.com,https://nypost.com,10,0,28,6,16,28,medium,47,16,82,10,0,0,0,0,0
nytimes.com,https://nytimes.com,10,0,7,3,3,5,low,13,0,98,10,0,0,0,0,0
paypal.com,https://paypal.com,10,0,63,6,4,17,low,42,0,100,10,0,0,0,0,0
reuters.com,https://reuters.com,1,0,1,1,1,2,low,4,0,85,1,0,0,0,0,0
shopify.com,https://shopify.com,5,0,1,0,1,0,low,0,0,0,5,0,0,0,0,0
stackoverflow.com,https://stackoverflow.com,1,1,0,0,0,0,low,0,0,0,0,1,0,0,0,0
target.com,https://target.com,10,1,326,143,6,56,high,73,45,1,9,1,0,0,0,0
techcrunch.com,https://techcrunch.com,10,0,14,6,8,24,low,29,20,39,10,0,0,0,0,0
theguardian.com,https://theguardian.com,10,0,5,0,1,2,low,4,0,70,10,0,0,0,0,0
theverge.com,https://theverge.com,10,0,22,10,14,47,medium,49,45,56,10,0,0,0,0,0
tripadvisor.com,https://tripadvisor.com,1,0,1,1,1,2,low,4,0,85,1,0,0,0,0,0
usatoday.com,https://usatoday.com,10,2,36,0,22,19,low,47,0,52,8,2,0,0,0,0
walmart.com,https://walmart.com,10,1,180,63,1,53,high,66,45,0,9,1,0,0,0,0
washingtonpost.com,https://washingtonpost.com,1,0,0,0,0,0,low,0,0,0,0,0,1,0,0,0
wired.com,https://wired.com,10,0,19,6,6,33,medium,29,36,53,10,0,0,0,0,0
wsj.com,https://wsj.com,1,0,1,1,1,2,low,4,0,85,1,0,0,0,0,0
bbc.com,https://www.bbc.com,10,0,2,2,2,0,low,0,0,0,10,0,0,0,0,0
cnn.com,https://www.cnn.com,10,0,15,2,12,5,low,0,0,0,10,0,0,0,0,0
dailymail.co.uk,https://www.dailymail.co.uk,1,0,349,13,14,49,medium,69,35,3,1,0,0,0,0,0
nytimes.com,https://www.nytimes.com,10,0,7,3,3,0,low,0,0,0,10,0,0,0,0,0
