site_domain,arstechnica.com,bankofamerica.com,bbc.com,bestbuy.com,bloomberg.com,booking.com,capitalone.com,chase.com,cnbc.com,cnn.com,costco.com,coursera.org,dailymail.co.uk,ebay.com,edx.org,engadget.com,espn.com,etsy.com,expedia.com,facebook.com,forbes.com,foxnews.com,github.com,homedepot.com,kayak.com,lowes.com,nypost.com,nytimes.com,paypal.com,reuters.com,shopify.com,stackoverflow.com,target.com,techcrunch.com,theguardian.com,theverge.com,tripadvisor.com,usatoday.com,walmart.com,washingtonpost.com,wired.com,wsj.com
arstechnica.com,5,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,1,0,1,0,0,1,0,2,0,0,2,0
bankofamerica.com,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbc.com,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bestbuy.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloomberg.com,1,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
booking.com,1,0,0,0,1,5,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,3,1,1,0,1,0,1,1,0,2,0,3,0,0,2,0
capitalone.com,1,0,0,0,1,1,7,0,0,1,0,1,1,0,1,1,0,0,0,0,0,3,0,0,1,0,2,2,1,0,1,0,2,0,0,1,0,2,0,0,3,0
chase.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnbc.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnn.com,1,0,1,0,0,1,1,0,0,12,0,0,2,0,0,1,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,1,2,0,5,0,6,0,0,2,0
costco.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coursera.org,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dailymail.co.uk,0,0,0,0,0,0,1,0,0,2,0,0,14,0,1,1,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,2,0,0,4,0,5,0,0,1,0
ebay.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edx.org,1,0,0,0,1,2,1,0,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,0,2,0,5,1,1,0,1,0,1,1,0,1,0,2,0,0,1,0
engadget.com,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
espn.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
etsy.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
expedia.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forbes.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
foxnews.com,2,1,0,0,1,1,3,0,0,5,0,0,4,0,3,2,0,0,0,0,0,40,0,0,3,0,8,1,2,0,1,0,2,1,1,5,0,7,0,0,2,0
github.com,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homedepot.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kayak.com,1,0,0,0,1,2,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,0,51,0,4,1,3,0,1,0,1,2,0,2,0,3,0,0,2,0
lowes.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nypost.com,2,0,0,0,1,3,2,0,0,4,0,0,3,0,5,2,0,0,0,0,0,8,0,0,4,0,16,1,2,0,1,0,2,3,1,5,0,6,0,0,3,0
nytimes.com,1,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,3,1,1,1,0,1,0,0,0,1,1,0,0,2,1
paypal.com,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,2,1,4,0,1,0,1,1,0,1,0,2,0,0,1,0
reuters.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
shopify.com,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
stackoverflow.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
target.com,1,0,0,0,1,1,2,0,0,1,0,0,2,0,1,1,0,0,0,0,0,2,0,0,1,0,2,1,1,0,1,0,6,0,0,2,0,2,0,0,2,0
techcrunch.com,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,8,0,1,0,1,0,0,1,0
theguardian.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
theverge.com,1,0,0,0,0,2,1,0,0,5,0,0,4,0,1,1,0,0,0,0,0,5,0,0,2,0,5,0,1,0,0,0,2,1,0,14,0,7,0,0,2,0
tripadvisor.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
usatoday.com,2,0,0,0,1,3,2,0,0,6,0,0,5,0,2,1,0,0,0,0,0,7,0,0,3,0,6,1,2,0,1,0,2,1,0,7,0,22,0,0,3,0
walmart.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
washingtonpost.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wired.com,2,0,0,0,1,2,3,0,0,2,0,1,1,0,1,1,0,0,0,0,0,2,0,0,2,0,3,2,1,0,1,0,2,1,0,2,0,3,0,0,6,0
wsj.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
