site_domain,status,count
arstechnica.com,blocked_by_robots,1
arstechnica.com,ok,9
bankofamerica.com,ok,10
bbc.com,ok,10
bestbuy.com,timeout,1
bloomberg.com,ok,4
booking.com,blocked_by_robots,2
booking.com,ok,8
capitalone.com,blocked_by_robots,1
capitalone.com,ok,9
chase.com,ok,10
cnbc.com,ok,1
cnn.com,ok,10
costco.com,blocked_by_robots,1
coursera.org,ok,10
dailymail.co.uk,ok,1
ebay.com,timeout,1
edx.org,ok,10
engadget.com,blocked_by_robots,1
engadget.com,ok,7
engadget.com,timeout,2
espn.com,ok,10
etsy.com,ok,1
expedia.com,ok,2
facebook.com,blocked_by_robots,1
forbes.com,blocked_by_robots,1
forbes.com,ok,9
foxnews.com,ok,10
github.com,ok,10
homedepot.com,ok,1
kayak.com,ok,10
lowes.com,blocked_by_robots,1
nypost.com,ok,10
nytimes.com,ok,10
paypal.com,ok,10
reuters.com,ok,1
shopify.com,ok,5
stackoverflow.com,blocked_by_robots,1
target.com,blocked_by_robots,1
target.com,ok,9
techcrunch.com,ok,10
theguardian.com,ok,10
theverge.com,ok,10
tripadvisor.com,ok,1
usatoday.com,blocked_by_robots,2
usatoday.com,ok,8
walmart.com,blocked_by_robots,1
walmart.com,ok,9
washingtonpost.com,timeout,1
wired.com,ok,10
wsj.com,ok,1
bbc.com,ok,10
cnn.com,ok,10
dailymail.co.uk,ok,1
nytimes.com,ok,10
